percentile,5s,1m,5m,20m,60m,5s_Wkg,1m_Wkg,5m_Wkg,20m_Wkg,60m_Wkg
95,924,477,339,306,291,15.36,7.94,5.59,4.84,4.6
90,860,455,324,278,264,14.27,7.48,5.43,4.61,4.38
80,803,432,307,263,250,13.06,6.89,4.95,4.33,4.11
70,744,395,290,251,238,11.89,6.45,4.59,4.07,3.87
60,685,372,270,238,226,11.15,6.16,4.52,3.94,3.74
50,632,352,256,223,212,10.03,5.91,4.29,3.8,3.61
40,565,323,237,208,198,9.43,5.56,4.13,3.61,3.43
30,509,296,223,199,189,8.67,5,3.74,3.26,3.1
20,466,276,212,183,174,8.03,4.59,3.41,2.95,2.8
10,391,240,187,168,160,6.09,3.76,3.1,2.7,2.56
5,319,213,169,151,143,4.98,3.28,2.65,2.31,2.19
