percentile,5s,1m,5m,20m,60m,5s_Wkg,1m_Wkg,5m_Wkg,20m_Wkg,60m_Wkg
99,1527,759,502,432,410,19.8,10.29,6.81,5.8,5.51
98,1436,722,470,398,378,19.01,9.58,6.43,5.41,5.14
95,1343,666,444,375,356,17.84,9.11,6.03,5.13,4.88
90,1254,627,416,349,332,16.74,8.55,5.73,4.86,4.61
80,1136,582,389,329,313,15.3,7.84,5.3,4.5,4.28
70,1054,548,370,312,296,14.13,7.35,5.01,4.23,4.02
60,992,522,354,298,283,13.13,6.92,4.74,3.99,3.79
50,930,491,339,286,272,12.14,6.49,4.48,3.8,3.61
40,865,464,322,274,260,11.24,6.14,4.24,3.6,3.42
30,795,437,306,260,247,10.43,5.73,3.99,3.38,3.21
20,712,403,287,244,232,9.28,5.23,3.72,3.11,2.96
10,601,354,261,222,211,7.66,4.48,3.21,2.71,2.58
5,501,323,239,202,192,6.26,3.9,2.86,2.39,2.27
